nome,genero,cor_raca,regiao,twitter,usuario_twitter
JOÃO CARLOS SIQUEIRA,MASCULINO,BRANCA,Sudeste,https://twitter.com/dep_padrejoao,dep_padrejoao
HENRIQUE DOS SANTOS VIEIRA LIMA,MASCULINO,PRETA,Sudeste,https://twitter.com/pastorhenriquev,pastorhenriquev
PEDRO DEBONI LUPION MELLO,MASCULINO,BRANCA,Sul,https://twitter.com/pedro_lupion,pedro_lupion
RAFAEL PEZENTI,MASCULINO,BRANCA,Sul,https://twitter.com/deputadopezenti,deputadopezenti
ANTÔNIO PINHEIRO NETO,MASCULINO,PARDA,Sudeste,https://twitter.com/pinheirinhomg,pinheirinhomg
DARCI POMPEO DE MATTOS,MASCULINO,BRANCA,Sul,https://twitter.com/PompeodeMattos,PompeodeMattos
PAULO FERNANDO MELO DA COSTA,MASCULINO,BRANCA,Centro-Oeste,https://twitter.com/paulofernandodf,paulofernandodf
Reginaldo Veras Coelho,MASCULINO,PARDA,Centro-Oeste,https://twitter.com/Reginaldoveras,Reginaldoveras
RAFAEL TADEU SIMÕES,MASCULINO,BRANCA,Sudeste,https://twitter.com/rafaelsimoesmg,rafaelsimoesmg
RAIMUNDO JOSÉ PEREIRA DOS SANTOS,MASCULINO,PARDA,Norte,https://twitter.com/deprsantos,deprsantos
REGINETE SOUZA BISPO,FEMININO,PRETA,Sul,https://twitter.com/reginetebispo,reginetebispo
RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE,FEMININO,PARDA,Norte,https://twitter.com/RenilceOficial,RenilceOficial
RICARDO AYRES DE CARVALHO,MASCULINO,PARDA,Norte,https://twitter.com/ricardoayres_to,ricardoayres_to
RICARDO AUGUSTO MACHADO DA SILVA,MASCULINO,BRANCA,Sudeste,https://twitter.com/ricardosilva,ricardosilva
ROBERTO DUARTE JUNIOR,MASCULINO,BRANCA,Norte,https://twitter.com/rdnarede,rdnarede
RODRIGO BATISTA DE CASTRO,MASCULINO,BRANCA,Sudeste,http://twitter.com/#!/RodrigoCastro45,RodrigoCastro45
RODRIGO SANTANA VALADARES,MASCULINO,BRANCA,Nordeste,https://twitter.com/DepRodrigo_,DepRodrigo_
ROMERO RODRIGUES VEIGA,MASCULINO,BRANCA,Nordeste,https://twitter.com/romeropelapb,romeropelapb
ROSANA DE OLIVEIRA VALLE,FEMININO,BRANCA,Sudeste,https://twitter.com/DepRosanaValle,DepRosanaValle
Roseana Sarney Murad,FEMININO,BRANCA,Nordeste,https://twitter.com/roseanasarneym,roseanasarneym
RUI GOETHE DA COSTA FALCÃO,MASCULINO,BRANCA,Sudeste,https://twitter.com/rfalcao13,rfalcao13
RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,MASCULINO,BRANCA,Nordeste,https://twitter.com/ruycarneiropb,ruycarneiropb
SAMIA DE SOUZA BOMFIM,FEMININO,BRANCA,Sudeste,https://twitter.com/samiabomfim,samiabomfim
SAMUEL JOSÉ RODRIGUES DE VIANA,MASCULINO,PARDA,Sudeste,https://twitter.com/vianasamuelmg,vianasamuelmg
UBIRATAN ANTUNES SANDERSON,MASCULINO,BRANCA,Sul,https://twitter.com/DepSanderson,DepSanderson
GILSON CARDOSO FAHUR,MASCULINO,BRANCA,Sul,https://twitter.com/SargentoFAHUR,SargentoFAHUR
SAULLO VELAME VIANNA,MASCULINO,BRANCA,Norte,https://twitter.com/saullovianna,saullovianna
SERGIO DE SOUZA,MASCULINO,BRANCA,Sul,https://twitter.com/_sergiosouza,_sergiosouza
SILVIA NOBRE LOPES,FEMININO,INDÍGENA,Norte,https://twitter.com/silviawaiapi,silviawaiapi
SILVIO SERAFIM COSTA FILHO,MASCULINO,BRANCA,Nordeste,https://twitter.com/Silvio_CFilho,Silvio_CFilho
SILVYE ALVES DA SILVA,FEMININO,PARDA,Centro-Oeste,https://twitter.com/silvyealves,silvyealves
SORAYA ALENCAR DOS SANTOS,FEMININO,BRANCA,Sudeste,https://twitter.com/sorayasantos,sorayasantos
SOSTENES SILVA CAVALCANTE,MASCULINO,BRANCA,Sudeste,https://twitter.com/DepSostenes,DepSostenes
THIAGO LEITE FLORES PEREIRA,MASCULINO,BRANCA,Norte,https://twitter.com/depthiagoflores,depthiagoflores
TÚLIO GADÊLHA SALES DE MELO,MASCULINO,BRANCA,Nordeste,https://twitter.com/tuliogadelha,tuliogadelha
VANDER LUIZ DOS SANTOS LOUBET,MASCULINO,BRANCA,Centro-Oeste,https://twitter.com/vanderloubet,vanderloubet
VICENTE PAULO DA SILVA,MASCULINO,PRETA,Sudeste,https://twitter.com/Vicentinhopt,Vicentinhopt
VINICIUS RAPOZO DE CARVALHO,MASCULINO,BRANCA,Sudeste,https://twitter.com/falecomvinicius,falecomvinicius
YURY BRUNO ALENCAR ARAUJO,MASCULINO,BRANCA,Nordeste,https://twitter.com/yurydoparedao,yurydoparedao
JOSÉ SILVA SOARES,MASCULINO,BRANCA,Sudeste,https://twitter.com/ZeSilva_?t=FMvtU0UvtQUawDXz6Bp3kA&s=08,ZeSilva_
JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,MASCULINO,BRANCA,Sul,http://www.twitter.com/zeca_dirceu,zeca_dirceu
